Term,Source,Definition,UF,USE,BT,NT,RT,First_Letter
Floodway (Environment),Environment Manual,"The channel of a river or watercourse and the adjacent land areas that must be reserved in order to discharge the base flood without cumulatively raising the water surface elevation more than a designated height. Normally, the base flood is defined as the 1 percent chance flood and the designated height is one foot above the pre floodway condition.",,,,,Floodway (Highway Runoff),F
Floodway (Highway Runoff),Highway Runoff Manual,"The channel of the river or stream and those portions of the adjoining floodplains that are reasonably required to carry and discharge the base flood flow. The reasonably required"" portion of the adjoining floodplains is defined by flood hazard regulations.""",,,,,Floodway (Environment),F
Floor hole,Safety Manual,"means an opening measuring less than twelve inches but more than one inch in it least dimension in any floor, roof, platform, or surface through which materials but not persons may fall, such as a belt hole, pipe opening, or slot opening",,,,,,F
Floor opening,Safety Manual,"means an opening measuring twelve inches or more in its least dimensions in any floor, roof, platform, or surface through which persons may fall.",,,,,,F
flow control,Highway Runoff Manual,(formerly called water quantity treatment or detention),,,,,,f
frame,Roadside Manual,"To design and manage roadside elements to delineate, expose, and enhance a scenic or otherwise desirable view.",,,,,,f
flow control facility,Highway Runoff Manual,"A drainage facility (BMP) designed to mitigate the impacts of increased surface water and stormwater runoff flow rates generated by development. Flow control facilities are designed to either hold water for a considerable length of time and then release it by evaporation, plant transpiration, or infiltration into the ground, or to hold runoff for a short period of time and then release it to the conveyance system at a controlled rate.",,,,,,f
flow duration,Highway Runoff Manual,"The aggregate time that peak flows are equal to or above a particular flow rate of interest. For example, the amount of time that peak flows are equal to or above 50% of the 2-year peak flow rate for a period of record.",,,,,,f
flow frequency,Highway Runoff Manual,"The inverse of the probability that the flow will be equaled or exceeded in any given year (the exceedance probability). For example, if the exceedance probability is 0.01 or 1 in 100, that flow is referred to as the 100-year flow.",,,,,,f
flow path,Highway Runoff Manual,The route that stormwater runoff follows between two points of interest.,,,,,,f
flow rate,Highway Runoff Manual,The amount of a fluid passing a certain point in a given amount of time. In stormwater applications it is usually expressed in cubic feet per second or gallons per minute.,,,,,,f
flow splitter,Highway Runoff Manual,"A device with multiple outlets, each sized to pass a specific flow rate at a given head.",,,,,,f
flow spreader,Highway Runoff Manual,"A device with a wide enough outlet to efficiently distribute concentrated flows evenly over a large area, having common components such as trenches, perforated pipes, and berms.",,,,,,f
flyer stop,Desgin Manual,A transit stop inside the limited access boundaries.,,,,,,f
fog light,Terminal Design Manual,A light that is used in foggy conditions to guide the vessel into the slip.,,,,,,f
footcandle (fc),Desgin Manual,The illumination of a surface one square foot in area on which a flux of one lumen is uniformly distributed. One footcandle equals one lumen per square foot.,,,,,,f
forb,Roadside Manual,"An herbaceous plant, such as clover, which is not a grass, sedge, or rush.",,,,,,f
Force-Account Work,Local Agency Guidelines,"Construction work not covered in the contract documents and of a type not amenable to definition by a change order. Force-account reimbursement is used when it is difficult to provide adequate measurement or to estimate the cost of certain items of work. The contractor is reimbursed for the cost of the work plus profit using established weighted wage rates, equipment-rental rates, and the invoice cost of materials.",,,,,,F
Force Account,Emergency Funding Manual,"The performance of highway construction work by a state transportation agency, a local agency, a railroad, or a public utility company by use of labor, equipment, materials, and supplies furnished by them and used under their direct control.",,,,,,F
Force Majeure,Consultant Services Manual,"Language that provides for assignment of liability in the event that agreement obligations cannot be performed due to causes that are outside the control of the parties and could not be avoided by the exercise of due care, such as “acts of God,” which include adverse weather, earthquakes, fires, floods and other natural disasters; or such as acts of war and strikes.",,,,,,F
forebay,Highway Runoff Manual,An easily maintained extra storage area provided near an inlet of a stormwater facility to trap incoming sediments before they accumulate in a pond or wetland.,,,,,,f
foreground,Roadside Manual,Detailed landscape generally found from the observer to 100 meters (300 feet) away.,,,,,,f
Foreslope,Desgin Manual,A sideslope that goes down as the distance increases from the roadway (fill slopes and ditch inslopes).,,,slope,,Foreslopes (Local Agency),F
Foreslope,Utilities Manual,A sideslope that goes down as the distance increases from the roadway (fill slopes and ditch inslopes).,,,slope,,Foreslopes (Local Agency),F
